,stock_number,sharpe_ratio,total_return
1511,8011,3.7057262352938007,1.1648844391141975
1512,8016,2.198548486641937,0.9057705610559731
1513,8021,1.0892360713598104,0.18973530662080904
1514,8024,0.9739937091156876,0.2243133878605252
1515,8027,3.5937065943127804,1.4352727437736261
1516,8028,4.2184084949521745,2.920173719749071
1517,8032,3.572556917131449,1.7061992949042928
1518,8033,1.9999500132165537,0.8163815114759899
1519,8034,2.720928589421489,1.0378279358188607
1520,8038,3.343789583842762,1.9458365563723852
1521,8039,0.19590290643705524,0.0126898840419625
1522,8040,0.8360132788739034,0.19350073855243735
1523,8042,0.2574331106548536,0.021569688475862846
1524,8043,2.740555752940263,1.0258493814581047
1525,8044,1.6693122859116003,0.5368488218551388
1526,8046,1.9157429661629575,0.5454545454545454
1527,8047,2.2366114375635564,0.5362339367890959
1528,8048,2.245402305866618,0.39913091351503366
1529,8049,2.675234762269418,0.7829161397872011
1530,8050,1.9235110842088117,0.667038636924646
1531,8054,1.8495569543358588,0.482503637566614
1532,8059,0.9078597843775403,0.18210408765948785
1533,8064,1.6008126860453433,0.36467490651546797
1534,8066,1.0175537217815551,0.19668656098527337
1535,8067,2.1231896370685845,1.0063807370911613
1536,8068,3.0060396947969337,2.0179437896698547
1537,8069,1.016415264594235,0.29132039670029236
1538,8070,1.3999692634471173,0.29052404352710226
1539,8071,3.03552987355268,1.3457991306577994
1540,8072,2.559843262313466,0.8463898217801176
1541,8074,1.4641390997871824,0.2593870505920806
1542,8076,1.9042268882756161,0.5487020525759786
1543,8077,2.7402565478887055,1.7131263050801362
1544,8080,-0.4782801430293982,-0.6850005669898178
1545,8081,1.975107787020097,0.6752287817454508
1546,8083,0.24237225266584211,0.014154254458308913
1547,8084,1.5523750105599072,0.5735315139956026
1548,8085,0.7219138133241766,0.13982700105577905
1549,8086,3.5361411777701894,2.1623440735178643
1550,8087,1.248542543320998,0.4608842109744377
1551,8088,1.983728487215509,0.4660904587826249
1552,8089,0.9464238641675543,0.23506162904504804
1553,8091,3.8795962756699263,1.826511686655555
1554,8092,2.725133833832482,1.302596460491758
1555,8093,3.057732033497116,2.761165494749753
1556,8096,3.662406467308752,1.1083276547211127
1557,8097,0.4970020082457274,0.08218190704071994
1558,8099,0.32914410018144813,0.036306471306471334
1559,8101,2.2151131029765634,11.241605598498664
1560,8103,2.431455272926507,0.5506932539900714
1561,8104,3.290828737232286,1.5978742654639615
1562,8105,1.9829483585506245,0.4729785788122774
1563,8107,1.7817228348443754,0.42794016826329967
1564,8109,1.4769764813655493,0.23710106484357923
1565,8110,2.0739696618353847,0.5297355960131543
1566,8111,5.259834175796822,3.300170077211421
1567,8112,2.7011996615720557,0.5975487534064544
1568,8114,1.2646220045805046,0.44547190034005724
1569,8121,1.034336399102243,0.30055301070419843
1570,8131,4.850714342005971,0.7166927424306374
1571,8147,0.940867047248751,0.18169532390586154
1572,8150,2.367935539765884,0.6140355353913711
1573,8155,3.088389351541102,1.711303342897866
1574,8163,2.886761966375767,0.569099319572027
1575,8171,1.2416817933729973,0.32874490206589047
1576,8176,3.359506997729212,1.8112254179177405
1577,8182,2.5523193811327243,0.6706519098310949
1578,8183,0.932173584879551,0.22836576625738958
1579,8201,1.5127398105111542,0.4844899572690753
1580,8210,0.8705981318981313,0.16945870500824342
1581,8213,1.1567605379007333,0.16998459554151396
1582,8215,2.861471043191978,0.9208288530543891
1583,8222,1.8383416487075968,0.9818582057812995
1584,8234,3.826753392064663,1.6471532312287656
1585,8240,3.859601437575277,0.9767718153327849
1586,8249,2.2771541601222887,0.48442468723672305
1587,8255,2.0217813468875643,0.7844772505354375
1588,8261,0.31055770329977644,0.018746295746745717
1589,8271,3.484890395380801,0.8165949073474331
1590,8277,2.809563796958002,1.1665243758084063
1591,8279,2.6637144377369877,0.938331198771509
1592,8284,1.3548547379753155,0.24155757716737966
1593,8289,0.5761480537191497,0.10328124758504487
1594,8291,1.4308913187824428,0.4859812039337433
1595,8299,2.5507289481338025,0.8282010972248429
1596,8341,2.636115816815083,0.6216016999220494
1597,8342,2.2843890675307374,0.3210073085813559
1598,8349,0.3519457597079437,0.041738996099342104
1599,8354,-1.5887842273916142,-0.17550108555365285
1600,8358,3.892472162186537,2.025995761532885
1601,8367,1.1818304935421702,0.23691747818175712
1602,8374,1.8155290129233568,0.36328277369203194
1603,8383,1.9247818585414127,0.24370024374888274
1604,8390,0.29047645194684746,0.024954026536747165
1605,8401,2.07991141195315,0.782576309870216
1606,8403,3.3222369965102083,1.1987733331197032
1607,8404,3.782635243981605,0.9545932564075812
1608,8409,3.7181315547723823,2.8693629035455097
1609,8410,0.7078822795354878,0.11653142122485165
1610,8411,-0.18287810898135656,-0.039897577371505545
1611,8415,5.103851609741356,1.254655216135343
1612,8416,0.9310128886457154,0.09072693642622937
1613,8420,0.6552745294393765,0.14101143020681633
